model,score_name,path,bg_key,sig_key,n_bg,n_sig,auc,auc_inverted,best_auc,score_inverted,train_bg_best_auc,eff_at_0.3_mistag,eff_at_0.1_mistag,eff_at_0.05_mistag,eff_at_0.01_mistag,eff_at_0.001_mistag
Transformer Deep SVDD,||z-c||²,outputs_transformer_svdd\transformer_deep_svdd_scores.npz,scores_bg,scores_sig,100000,59643,0.8899255712321649,0.11007442876783527,0.8899255712321649,False,0.50005471395,0.8846637493083849,0.6900055329208792,0.5592777023288567,0.29238971882702075,0.0769243666482236
RealNVP Flow,NLL = -log p(x),outputs_flow\realnvp_flow_scores.npz,scores_bg,scores_sig,100000,59644,0.8764770482362014,0.12352295176379854,0.8764770482362014,False,0.5119277389,0.876165247132989,0.6371303064851452,0.4648078599691503,0.16826503923278116,0.025199517135001005
Diffusion v2 z-all,z-normalized denoising score,outputs_diffusion_v2\tabular_diffusion_v2_scores.npz,scores_bg_z_all,scores_sig_z_all,100000,59643,0.8763887631406871,0.12361123685931291,0.8763887631406871,False,,0.8688027094545882,0.6426403769092769,0.4980970105460825,0.23697667790017268,0.05673758865248227
Stable RealNVP Flow,NLL = -log p(x),outputs_flow_stable\stable_realnvp_flow_scores.npz,scores_bg,scores_sig,100000,59643,0.8713137467934208,0.12868625320657914,0.8713137467934208,False,0.50265796355,0.8752074845329711,0.6153949331857888,0.43911272068809415,0.15901279278372987,0.010026323290243616
Diffusion v2 z-mid,z-normalized mid timestep denoising score,outputs_diffusion_v2\tabular_diffusion_v2_scores.npz,scores_bg_z_mid,scores_sig_z_mid,100000,59643,0.849824060912429,0.15017593908757104,0.849824060912429,False,,0.8222255755076036,0.5897590664453498,0.45792465167748103,0.23806649564911223,0.06716630618848816
Aggregate VAE total,aggregate VAE total score,outputs_clean\clean_ae_vae_scores.npz,vae_scores_bg_total,vae_scores_sig_total,100000,59644,0.8477047376936488,0.15229526230635101,0.8477047376936488,False,0.50762049335,0.8239890014083563,0.5662430420494937,0.42081349339413854,0.19259271678626516,0.05742404935953323
Aggregate AE,aggregate AE reconstruction score,outputs_clean\clean_ae_vae_scores.npz,ae_scores_bg,ae_scores_sig,100000,59644,0.8409908564147274,0.1590091435852726,0.8409908564147274,False,0.5084224141,0.8129568774730065,0.5594695191469385,0.42083025953993697,0.18028636577023674,0.04895714573133928
Aggregate VAE reco,aggregate VAE reconstruction score,outputs_clean\clean_ae_vae_scores.npz,vae_scores_bg_reco,vae_scores_sig_reco,100000,59644,0.8382788730635101,0.16172112693648982,0.8382788730635101,False,0.5080233594,0.8087485748776071,0.5533834082221178,0.4141573335121722,0.18888739856481793,0.058530614982227884
Transformer Set AE total,reconstruction score,outputs_transformer_set\transformer_set_scores.npz,scores_bg,scores_sig,100000,59643,0.801245292238821,0.198754707761179,0.801245292238821,False,0.5036355547,0.7539191522894556,0.4224636587696796,0.2944016900558322,0.12641885887698473,0.004208373153597237
Diffusion,denoising score,outputs_diffusion\tabular_diffusion_scores.npz,scores_bg,scores_sig,100000,59643,0.7602828448434853,0.2397171551565146,0.7602828448434853,False,0.5021154869,0.6828127357778784,0.41830558489680264,0.29715138406854114,0.12501047901681672,0.006371242224569522
Transformer Set AE track,track reconstruction score,outputs_transformer_set\transformer_set_scores.npz,scores_bg_tracks,scores_sig_tracks,100000,59643,0.6408378744362289,0.35916212556377114,0.6408378744362289,False,0.5026042315,0.475177304964539,0.188085777040055,0.10044766359841054,0.016514930503160472,0.0002514964036014285
