model,variable,mistag,threshold,bin_low,bin_high,bin_center,n_signal,signal_efficiency
Transformer Deep SVDD,Lxy_median,0.01,0.001164788221940397,0.10336698591709137,59.82302017211914,29.963193579018117,11800,0.2677966101694915
Transformer Deep SVDD,Lxy_median,0.01,0.001164788221940397,59.82302017211914,88.62312011718751,74.22307014465332,11800,0.28364406779661017
Transformer Deep SVDD,Lxy_median,0.01,0.001164788221940397,88.62312011718751,118.07174377441406,103.34743194580079,11800,0.28559322033898304
Transformer Deep SVDD,Lxy_median,0.01,0.001164788221940397,118.07174377441406,155.6561492919922,136.86394653320312,11800,0.2943220338983051
Transformer Deep SVDD,Lxy_median,0.01,0.001164788221940397,155.6561492919922,299.9960021972656,227.8260757446289,11800,0.31813559322033896
Transformer Deep SVDD,Lxy_mean,0.01,0.001164788221940397,0.10336698591709137,79.47189178466797,39.78762938529253,11800,0.29
Transformer Deep SVDD,Lxy_mean,0.01,0.001164788221940397,79.47189178466797,103.76051635742188,91.61620407104493,11800,0.27364406779661016
Transformer Deep SVDD,Lxy_mean,0.01,0.001164788221940397,103.76051635742188,125.28399810791016,114.52225723266602,11800,0.27
Transformer Deep SVDD,Lxy_mean,0.01,0.001164788221940397,125.28399810791016,151.7426696777344,138.5133338928223,11800,0.2909322033898305
Transformer Deep SVDD,Lxy_mean,0.01,0.001164788221940397,151.7426696777344,299.9960021972656,225.8693359375,11800,0.3249152542372881
Transformer Deep SVDD,Lxy_q90,0.01,0.001164788221940397,0.10336698591709137,132.72213134765627,66.41274916678668,11800,0.32720338983050845
Transformer Deep SVDD,Lxy_q90,0.01,0.001164788221940397,132.72213134765627,178.08295593261718,155.40254364013674,11800,0.28728813559322036
Transformer Deep SVDD,Lxy_q90,0.01,0.001164788221940397,178.08295593261718,211.8356689453125,194.95931243896484,11800,0.27703389830508474
Transformer Deep SVDD,Lxy_q90,0.01,0.001164788221940397,211.8356689453125,242.7940185546875,227.31484375000002,11800,0.2773728813559322
Transformer Deep SVDD,Lxy_q90,0.01,0.001164788221940397,242.7940185546875,299.9960021972656,271.39501037597654,11800,0.28059322033898304
Transformer Deep SVDD,Lxy_max,0.01,0.001164788221940397,0.10336698591709137,148.03963928222657,74.07150313407183,11800,0.3374576271186441
Transformer Deep SVDD,Lxy_max,0.01,0.001164788221940397,148.03963928222657,202.35804138183593,175.19884033203124,11800,0.293728813559322
Transformer Deep SVDD,Lxy_max,0.01,0.001164788221940397,202.35804138183593,241.4113983154297,221.8847198486328,11800,0.2760169491525424
Transformer Deep SVDD,Lxy_max,0.01,0.001164788221940397,241.4113983154297,272.8161315917969,257.11376495361327,11800,0.27508474576271186
Transformer Deep SVDD,Lxy_max,0.01,0.001164788221940397,272.8161315917969,299.9999084472656,286.40802001953125,11800,0.26720338983050845
Transformer Deep SVDD,Lxy_prod_median,0.01,0.001164788221940397,0.6732196807861328,0.6999125480651855,0.6865661144256592,11799,0.29714382574794473
Transformer Deep SVDD,Lxy_prod_median,0.01,0.001164788221940397,0.6999125480651855,0.7049158215522766,0.7024141848087311,11800,0.2832203389830508
Transformer Deep SVDD,Lxy_prod_median,0.01,0.001164788221940397,0.7049158215522766,0.709228789806366,0.7070723056793213,11801,0.29726294381832047
Transformer Deep SVDD,Lxy_prod_median,0.01,0.001164788221940397,0.709228789806366,0.7142664194107056,0.7117476046085358,11799,0.2884142723959658
Transformer Deep SVDD,Lxy_prod_median,0.01,0.001164788221940397,0.7142664194107056,0.7398232817649841,0.7270448505878448,11801,0.28345055503770866
Transformer Deep SVDD,Lxy_prod_q90,0.01,0.001164788221940397,0.6732196807861328,0.6999125480651855,0.6865661144256592,11799,0.29714382574794473
Transformer Deep SVDD,Lxy_prod_q90,0.01,0.001164788221940397,0.6999125480651855,0.7049158215522766,0.7024141848087311,11800,0.2832203389830508
Transformer Deep SVDD,Lxy_prod_q90,0.01,0.001164788221940397,0.7049158215522766,0.709228789806366,0.7070723056793213,11801,0.29726294381832047
Transformer Deep SVDD,Lxy_prod_q90,0.01,0.001164788221940397,0.709228789806366,0.7142664194107056,0.7117476046085358,11799,0.2884142723959658
Transformer Deep SVDD,Lxy_prod_q90,0.01,0.001164788221940397,0.7142664194107056,0.7398232817649841,0.7270448505878448,11801,0.28345055503770866
Transformer Deep SVDD,n_truth_dark_pions,0.01,0.001164788221940397,0.0,3.0,1.5,10501,0.4082468336348919
Transformer Deep SVDD,n_truth_dark_pions,0.01,0.001164788221940397,3.0,4.0,3.5,10297,0.3268913275711372
Transformer Deep SVDD,n_truth_dark_pions,0.01,0.001164788221940397,4.0,5.0,4.5,10862,0.2825446510771497
Transformer Deep SVDD,n_truth_dark_pions,0.01,0.001164788221940397,5.0,6.0,5.5,9488,0.2574831365935919
Transformer Deep SVDD,n_truth_dark_pions,0.01,0.001164788221940397,6.0,19.0,12.5,18495,0.23108948364422818
RealNVP Flow,Lxy_median,0.01,26.506405487060256,0.10336698591709137,59.82302017211914,29.963193579018117,11800,0.11822033898305084
RealNVP Flow,Lxy_median,0.01,26.506405487060256,59.82302017211914,88.62312011718751,74.22307014465332,11800,0.1538135593220339
RealNVP Flow,Lxy_median,0.01,26.506405487060256,88.62312011718751,118.07174377441406,103.34743194580079,11800,0.1752542372881356
RealNVP Flow,Lxy_median,0.01,26.506405487060256,118.07174377441406,155.6561492919922,136.86394653320312,11800,0.19279661016949154
RealNVP Flow,Lxy_median,0.01,26.506405487060256,155.6561492919922,299.9960021972656,227.8260757446289,11800,0.20296610169491525
RealNVP Flow,Lxy_mean,0.01,26.506405487060256,0.10336698591709137,79.47189178466797,39.78762938529253,11800,0.12161016949152542
RealNVP Flow,Lxy_mean,0.01,26.506405487060256,79.47189178466797,103.76051635742188,91.61620407104493,11800,0.15110169491525424
RealNVP Flow,Lxy_mean,0.01,26.506405487060256,103.76051635742188,125.28399810791016,114.52225723266602,11800,0.1685593220338983
RealNVP Flow,Lxy_mean,0.01,26.506405487060256,125.28399810791016,151.7426696777344,138.5133338928223,11800,0.19822033898305086
RealNVP Flow,Lxy_mean,0.01,26.506405487060256,151.7426696777344,299.9960021972656,225.8693359375,11800,0.20355932203389832
RealNVP Flow,Lxy_q90,0.01,26.506405487060256,0.10336698591709137,132.72213134765627,66.41274916678668,11800,0.12457627118644068
RealNVP Flow,Lxy_q90,0.01,26.506405487060256,132.72213134765627,178.08295593261718,155.40254364013674,11800,0.15991525423728814
RealNVP Flow,Lxy_q90,0.01,26.506405487060256,178.08295593261718,211.8356689453125,194.95931243896484,11800,0.1702542372881356
RealNVP Flow,Lxy_q90,0.01,26.506405487060256,211.8356689453125,242.7940185546875,227.31484375000002,11800,0.18601694915254238
